trial,variant,num_nodes,job_id,job_name,git_sha,git_dirty,benchmark_sha,image,image_id,t_cli_return_sec,t_first_rank_sec,t_all_ranks_sec,t_post_rank_sec,t_rank_spread_sec,t_pending_sec,t_starting_to_rank_sec,t_provision_to_driver_sec,t_autodown_sec,t_add_job_sec,t_queue_job_sec,t_ray_init_sec,t_placement_group_sec,t_rank_discovery_sec,t_driver_to_first_rank_sec,ranks_found,ranks_missing,pypi_sec,anaconda_sec,t_runtime_bootstrap_sec,t_wheel_sec,t_cluster_launch_sec,miniconda_downloaded,apt_skipped,pods_pending_max,status
1,optimized,4,70,multinode-bench-n4-t1-201529,1594439d6f5f290b773a71e8856234a39e503e97,yes,e5fc545a664d1d051b6a79fef530c3aa5b0668b36623ffd08093bee0e5c89cc1,us-docker.pkg.dev/sky-dev-465/skypilotk8s/skypilot:latest,us-docker.pkg.dev/sky-dev-465/skypilotk8s/skypilot@sha256:26cfaecb26ed3531d17892bcefc37a638622dc2efdff22d90da7361ad1be0e92,70.2,46.0,46.5,23.7,0.41631507873535156,0.293,42.973,6.750,1.531,1.248,1.417,,,0.714,,4,,3.411506,0.085011,10,0,46.53,no,no,4,SUCCEEDED
2,optimized,4,71,multinode-bench-n4-t2-201655,1594439d6f5f290b773a71e8856234a39e503e97,yes,e5fc545a664d1d051b6a79fef530c3aa5b0668b36623ffd08093bee0e5c89cc1,us-docker.pkg.dev/sky-dev-465/skypilotk8s/skypilot:latest,us-docker.pkg.dev/sky-dev-465/skypilotk8s/skypilot@sha256:26cfaecb26ed3531d17892bcefc37a638622dc2efdff22d90da7361ad1be0e92,69.6,43.3,43.8,25.7,0.5023047924041748,0.275,35.854,5.804,1.342,1.229,1.537,,,0.425,,4,,3.926133,0.108902,5,0,41.60,no,no,4,SUCCEEDED
3,optimized,4,72,multinode-bench-n4-t3-201822,1594439d6f5f290b773a71e8856234a39e503e97,yes,e5fc545a664d1d051b6a79fef530c3aa5b0668b36623ffd08093bee0e5c89cc1,us-docker.pkg.dev/sky-dev-465/skypilotk8s/skypilot:latest,us-docker.pkg.dev/sky-dev-465/skypilotk8s/skypilot@sha256:26cfaecb26ed3531d17892bcefc37a638622dc2efdff22d90da7361ad1be0e92,71.3,46.5,46.8,24.5,0.35304903984069824,0.183,39.455,5.481,1.445,1.156,1.256,,,0.391,,4,,3.984345,0.106699,10,0,44.72,no,no,4,SUCCEEDED
