phase,epoch
queue_committed,1783781313.824017
controller_claimed,1783781313.966713
starting_committed,1783781314.006732
provision_return,1783781345.697156
post_provision_update_start,1783781345.699523
post_provision_update_end,1783781345.710705
autodown_start,1783781345.713988
autodown_end,1783781347.159139
execute_start,1783781347.159694
add_job_start,1783781347.161471
add_job_end,1783781348.317812
queue_job_start,1783781348.325311
queue_job_end,1783781349.581042
execute_end,1783781349.581422
placement_group_ready,1783781350.780926
rank_discovery_start,1783781350.783740
rank_discovery_end,1783781351.174832
user_tasks_submitted,1783781351.178347
