phase,epoch
queue_committed,1783781135.844469
controller_claimed,1783781135.894477
starting_committed,1783781136.137483
provision_return,1783781170.497615
post_provision_update_start,1783781170.498233
post_provision_update_end,1783781170.530789
autodown_start,1783781170.535110
autodown_end,1783781172.066273
execute_start,1783781172.067154
add_job_start,1783781172.068652
add_job_end,1783781173.317050
queue_job_start,1783781173.325602
queue_job_end,1783781174.742376
execute_end,1783781174.742901
placement_group_ready,1783781176.519458
rank_discovery_start,1783781176.522607
rank_discovery_end,1783781177.236229
user_tasks_submitted,1783781177.247246
