side,job_id,t_delete_to_recovering_sec,t_recovering_to_running_again_sec,t_delete_to_running_again_sec,t_delete_to_terminal_sec,final_status
baseline,74,54.2,345.8,400.0,418.3,CANCELLED
optimized,73,37.8,55.7,93.5,119.6,CANCELLED
